Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
63714167,01/10/2025 11:58:36 PM,01/11/2025 07:33:44 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10030,646 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  141 STREET,WEST  145 STREET,WEST  141 STREET,WEST  145 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,,Closed,,The Police Department issued a summons in response to the complaint.,01/11/2025 07:33:47 AM,09 MANHATTAN,1020510025,MANHATTAN,999317,238876,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.8223221863584,-73.94556169958358,"(40.8223221863584, -73.94556169958358)"
63718275,01/10/2025 11:56:05 PM,01/11/2025 02:18:03 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11374,AUBREY AVENUE,AUBREY AVENUE,AUBREY AVENUE,METROPOLITAN AVENUE,AUBREY AVENUE,METROPOLITAN AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/11/2025 02:18:07 AM,05 QUEENS,,QUEENS,1022861,198706,ONLINE,Unspecified,QUEENS,,,,,,,,40.71199456732221,-73.86072616515352,"(40.71199456732221, -73.86072616515352)"
63707937,01/10/2025 11:54:33 PM,01/11/2025 04:03:50 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10027,370 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  128 STREET,WEST  129 STREET,WEST  128 STREET,WEST  129 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2025 04:03:53 AM,10 MANHATTAN,1019557501,MANHATTAN,997930,235447,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.81291280288723,-73.95058003232063,"(40.81291280288723, -73.95058003232063)"
63707167,01/10/2025 11:54:15 PM,01/11/2025 02:54:58 AM,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11208,43 PINE STREET,PINE STREET,ETNA STREET,RIDGEWOOD AVENUE,ETNA STREET,RIDGEWOOD AVENUE,ADDRESS,BROOKLYN,PINE STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/11/2025 02:55:02 AM,05 BROOKLYN,3041180002,BROOKLYN,1019257,189127,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68571746816194,-73.87377593228254,"(40.68571746816194, -73.87377593228254)"
63722802,01/10/2025 11:52:03 PM,01/11/2025 02:54:19 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11208,37 PINE STREET,PINE STREET,ETNA STREET,RIDGEWOOD AVENUE,ETNA STREET,RIDGEWOOD AVENUE,ADDRESS,BROOKLYN,PINE STREET,,Closed,,The Police Department issued a summons in response to the complaint.,01/11/2025 02:54:21 AM,05 BROOKLYN,3041180005,BROOKLYN,1019249,189167,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68582729053537,-73.8738045699107,"(40.68582729053537, -73.8738045699107)"
63707147,01/10/2025 11:51:02 PM,01/11/2025 12:22:02 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10027,361 WEST  125 STREET,WEST  125 STREET,ST NICHOLAS AVENUE,MORNINGSIDE AVENUE,ST NICHOLAS AVENUE,MORNINGSIDE AVENUE,ADDRESS,NEW YORK,WEST  125 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/11/2025 12:22:05 AM,09 MANHATTAN,1019520009,MANHATTAN,997259,234732,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.81095134072089,-73.95300545254057,"(40.81095134072089, -73.95300545254057)"
63712327,01/10/2025 11:49:53 PM,01/11/2025 02:13:54 AM,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11385,89-12 AUBREY AVENUE,AUBREY AVENUE,88 STREET,METROPOLITAN AVENUE,88 STREET,METROPOLITAN AVENUE,ADDRESS,RIDGEWOOD,AUBREY AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/11/2025 02:13:57 AM,05 QUEENS,4038720014,QUEENS,1022370,198370,ONLINE,Unspecified,QUEENS,,,,,,,,40.71107445745027,-73.86249915200212,"(40.71107445745027, -73.86249915200212)"
63707075,01/10/2025 11:48:49 PM,01/11/2025 01:49:34 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10463,3036 BAILEY AVENUE,BAILEY AVENUE,ALBANY CRESCENT,WEST  231 STREET,ALBANY CRESCENT,WEST  231 STREET,ADDRESS,BRONX,BAILEY AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/11/2025 01:49:40 AM,08 BRONX,2032610005,BRONX,1011027,258850,ONLINE,Unspecified,BRONX,Car,,,,,,,40.8771171377335,-73.90317276912191,"(40.8771171377335, -73.90317276912191)"
63707145,01/10/2025 11:48:43 PM,01/11/2025 12:32:30 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11205,93 ST EDWARDS STREET,ST EDWARDS STREET,MONUMENT WALK,AUBURN PLACE,MONUMENT WALK,AUBURN PLACE,ADDRESS,BROOKLYN,ST EDWARDS STREET,,Closed,,The Police Department issued a summons in response to the complaint.,01/11/2025 12:32:34 AM,02 BROOKLYN,3020390001,BROOKLYN,990352,192303,PHONE,Unspecified,BROOKLYN,,,,,,,,40.694501981434954,-73.97799524430377,"(40.694501981434954, -73.97799524430377)"
63718273,01/10/2025 11:48:11 PM,01/11/2025 03:44:50 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421,87-46 89 STREET,89 STREET,JAMAICA AVENUE,88 AVENUE,JAMAICA AVENUE,88 AVENUE,ADDRESS,WOODHAVEN,89 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2025 03:44:53 AM,09 QUEENS,4089270027,QUEENS,1024368,191448,ONLINE,Unspecified,QUEENS,,,,,,,,40.692066380905224,-73.85533350808772,"(40.692066380905224, -73.85533350808772)"
